Samples	SBS96A	SBS96B	SBS96C
TCGA-CV-7418	6.89E-01	1.15E+00	1.06E+00
TCGA-CV-7421	5.11E-01	5.25E-01	7.01E-01
TCGA-CV-7422	7.52E-01	9.85E-01	1.07E+00
TCGA-CV-7423	5.25E-01	6.21E-01	7.19E-01
TCGA-CV-7424	9.52E-01	1.10E+00	1.30E+00
TCGA-CV-7425	7.24E-01	7.51E-01	8.67E-01
TCGA-CV-7427	6.79E-01	6.21E-01	2.83E-01
TCGA-CV-7429	5.17E-01	6.27E-01	6.28E-01
TCGA-CV-7430	5.97E-01	1.12E+00	1.09E+00
TCGA-CV-7432	6.46E-01	1.07E+00	1.13E+00
TCGA-CV-7433	6.12E-01	8.86E-01	9.93E-01
TCGA-CV-7434	4.44E-01	7.73E-01	7.73E-01
TCGA-CV-7435	5.29E-01	7.94E-01	8.80E-01
TCGA-CV-7437	6.62E-01	7.45E-01	8.85E-01
TCGA-CV-7438	5.77E-01	7.31E-01	8.37E-01
TCGA-CV-7440	6.56E-01	1.33E+00	1.24E+00
TCGA-CV-7446	8.24E-01	1.09E+00	1.17E+00
TCGA-CV-A45O	8.44E-01	4.65E-01	8.22E-01
TCGA-CV-A45P	1.01E+00	6.96E-01	1.08E+00
TCGA-CV-A45Q	1.25E+00	1.24E+00	1.40E+00
TCGA-CV-A45R	3.82E-01	4.13E-01	5.62E-01
TCGA-CV-A45T	0.00E+00	0.00E+00	0.00E+00
TCGA-CV-A45U	1.08E+00	1.05E+00	1.12E+00
TCGA-CV-A45V	7.78E-01	7.52E-01	1.03E+00
TCGA-CV-A45W	1.24E+00	2.05E+00	2.11E+00
TCGA-CV-A45X	5.61E-01	9.72E-01	9.81E-01
TCGA-CV-A45Y	3.19E-01	4.92E-01	5.67E-01
TCGA-CV-A45Z	1.16E+00	2.37E+00	2.37E+00
TCGA-CV-A460	4.57E-01	7.14E-01	7.97E-01
TCGA-CV-A461	1.17E+00	2.57E+00	2.52E+00
TCGA-CV-A463	1.12E+00	8.13E-01	1.26E+00
TCGA-CV-A464	2.00E-01	4.28E-01	4.74E-01
TCGA-CV-A465	4.34E-01	4.21E-01	4.65E-01
TCGA-CV-A468	7.54E-01	1.84E-01	7.65E-01
TCGA-CV-A6JD	2.45E-01	5.34E-01	5.83E-01
TCGA-CV-A6JE	7.81E-01	1.03E+00	1.14E+00
TCGA-CV-A6JM	1.36E+00	9.62E-01	1.48E+00
TCGA-CV-A6JN	3.52E-01	7.25E-01	7.67E-01
TCGA-CV-A6JO	1.99E-01	4.37E-01	4.84E-01
TCGA-CV-A6JT	4.54E-01	4.07E-01	4.74E-01
TCGA-CV-A6JU	5.18E-01	1.15E+00	1.14E+00
TCGA-CV-A6JY	5.00E-01	6.05E-01	7.44E-01
TCGA-CV-A6JZ	3.68E-01	7.87E-01	8.74E-01
TCGA-CV-A6K0	1.42E-01	1.28E-01	1.81E-01
TCGA-CV-A6K1	1.14E+00	1.67E+00	1.80E+00
TCGA-CV-A6K2	1.11E+00	9.28E-01	6.78E-01
TCGA-CX-7082	5.54E-01	1.08E+00	1.02E+00
TCGA-CX-7085	5.98E-01	3.75E-01	6.05E-01
TCGA-CX-7086	1.05E+00	1.32E+00	1.43E+00
TCGA-CX-7219	8.06E-01	8.01E-01	9.15E-01
TCGA-CX-A4AQ	6.34E-01	8.48E-01	9.80E-01
TCGA-D6-6515	3.88E-01	4.86E-02	3.89E-01
TCGA-D6-6517	3.49E-01	8.06E-01	8.20E-01
TCGA-D6-6823	4.45E-01	1.12E+00	1.06E+00
TCGA-D6-6824	1.20E-01	3.28E-01	3.45E-01
TCGA-D6-6825	5.62E-01	6.58E-01	7.85E-01
TCGA-D6-6826	7.89E-01	7.50E-01	9.64E-01
TCGA-D6-6827	0.00E+00	1.87E-01	1.87E-01
TCGA-D6-8568	5.81E-01	7.95E-01	8.56E-01
TCGA-D6-8569	2.88E-01	1.00E+00	9.94E-01
TCGA-D6-A4Z9	4.02E-01	9.52E-01	9.41E-01
TCGA-D6-A4ZB	6.55E-01	8.77E-01	9.67E-01
TCGA-D6-A6EK	6.13E-01	1.36E+00	1.43E+00
TCGA-D6-A6EM	3.88E-01	8.05E-01	9.13E-01
TCGA-D6-A6EN	7.12E-01	7.05E-01	7.44E-01
TCGA-D6-A6EO	6.09E-01	9.58E-01	1.04E+00
TCGA-D6-A6EP	6.29E-01	9.10E-01	9.51E-01
TCGA-D6-A6EQ	7.35E-01	7.82E-01	9.17E-01
TCGA-D6-A6ES	1.02E+00	8.87E-01	1.14E+00
TCGA-D6-A74Q	1.50E+00	1.61E+00	1.58E+00
TCGA-DQ-5624	6.58E-01	2.83E-01	7.10E-01
TCGA-DQ-5625	1.05E+00	9.42E-01	1.24E+00
TCGA-DQ-5629	1.12E+00	1.91E+00	2.02E+00
TCGA-DQ-5630	2.95E-01	5.15E-01	5.67E-01
TCGA-DQ-5631	7.13E-01	5.81E-01	8.02E-01
TCGA-DQ-7588	6.61E-01	1.05E+00	9.87E-01
TCGA-DQ-7591	4.19E-01	3.04E-01	5.23E-01
TCGA-DQ-7592	4.24E-01	7.48E-01	7.53E-01
TCGA-DQ-7593	4.00E-02	2.86E-01	2.84E-01
TCGA-DQ-7596	2.15E-01	2.09E-01	2.72E-01
TCGA-F7-7848	7.43E-01	1.53E+00	1.41E+00
TCGA-F7-8298	7.66E-01	7.67E-01	8.31E-01
TCGA-F7-8489	6.63E-01	8.39E-01	8.89E-01
TCGA-F7-A50G	7.14E-01	4.58E-01	7.79E-01
TCGA-F7-A50I	6.41E-01	1.07E+00	1.07E+00
TCGA-F7-A50J	8.41E-01	8.50E-01	9.89E-01
TCGA-F7-A61S	4.42E-01	7.22E-01	7.92E-01
TCGA-F7-A61V	7.12E-01	9.09E-01	1.08E+00
TCGA-F7-A61W	2.99E-01	8.91E-01	9.10E-01
TCGA-F7-A620	4.86E-01	4.74E-01	5.39E-01
TCGA-F7-A622	2.65E-01	5.99E-01	5.84E-01
TCGA-F7-A623	9.99E-01	1.14E+00	1.42E+00
TCGA-H7-7774	5.05E-01	7.54E-01	8.53E-01
TCGA-H7-8501	9.01E-01	5.02E-01	9.57E-01
TCGA-H7-A6C4	9.19E-02	4.11E-02	9.87E-02
TCGA-H7-A6C5	4.72E-01	8.72E-01	9.98E-01
TCGA-H7-A76A	6.44E-01	4.20E-01	6.77E-01
TCGA-HD-7229	7.64E-01	1.14E+00	1.25E+00
TCGA-HD-7753	3.71E-01	1.05E+00	1.08E+00
TCGA-HD-7754	3.39E-01	2.49E-01	3.78E-01
TCGA-HD-7831	1.74E-01	4.45E-01	4.76E-01
TCGA-HD-7832	7.16E-01	6.80E-01	8.92E-01
TCGA-HD-8224	3.95E-01	6.70E-01	7.11E-01
TCGA-HD-8314	6.77E-01	5.29E-01	7.57E-01
TCGA-HD-8634	5.38E-01	5.25E-01	6.65E-01
TCGA-HD-8635	1.21E+00	1.24E+00	1.31E+00
TCGA-HD-A4C1	1.15E+00	8.24E-01	1.18E+00
TCGA-HD-A633	9.02E-01	7.58E-01	9.51E-01
TCGA-HD-A634	2.97E-01	4.66E-01	5.12E-01
TCGA-HD-A6HZ	6.02E-01	5.94E-01	6.60E-01
TCGA-HD-A6I0	4.79E-01	5.18E-01	6.32E-01
TCGA-IQ-7630	7.80E-01	5.30E-01	8.75E-01
TCGA-IQ-7631	2.69E-01	2.71E-01	3.40E-01
TCGA-IQ-7632	8.82E-02	6.12E-01	6.18E-01
TCGA-IQ-A61E	9.40E-01	5.12E-01	9.70E-01
TCGA-IQ-A61G	6.05E-01	9.37E-01	1.08E+00
TCGA-IQ-A61H	7.86E-01	7.67E-01	9.30E-01
TCGA-IQ-A61I	6.86E-01	2.55E-01	7.63E-01
TCGA-IQ-A61J	0.00E+00	4.26E-01	4.26E-01
TCGA-IQ-A61O	2.23E-01	3.15E-01	3.96E-01
TCGA-IQ-A6SG	3.76E-01	8.81E-01	8.83E-01
TCGA-IQ-A6SH	4.52E-01	5.89E-01	7.27E-01
TCGA-KU-A66S	1.48E+00	2.23E+00	1.83E+00
TCGA-KU-A66T	5.51E-01	8.35E-01	9.40E-01
TCGA-KU-A6H7	7.24E-01	4.14E-01	7.82E-01
TCGA-KU-A6H8	1.40E-01	3.61E-01	3.91E-01
TCGA-MT-A51W	5.18E-01	6.44E-01	6.14E-01
TCGA-MT-A51X	2.58E-01	1.97E-01	3.30E-01
TCGA-MT-A67A	5.65E-01	7.38E-01	8.19E-01
TCGA-MT-A67D	4.54E-01	7.50E-01	8.19E-01
TCGA-MT-A67F	8.84E-01	0.00E+00	8.84E-01
