Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-P3-A6T8	2	0	0	10	34	11	14	7	17
TCGA-QK-A64Z	15	27	4	18	0	0	0	14	10
TCGA-QK-A652	4	1	5	12	0	0	14	8	3
TCGA-QK-A6IF	6	0	0	14	0	2	0	9	0
TCGA-QK-A6IG	28	35	10	42	0	7	6	1	2
TCGA-QK-A6IH	9	12	0	10	27	0	0	14	6
TCGA-QK-A6II	20	86	0	8	21	12	0	22	31
TCGA-QK-A6IJ	2	0	0	25	0	25	0	0	0
TCGA-QK-A6V9	14	2	0	34	16	10	0	0	6
TCGA-QK-A6VB	0	1	71	87	0	0	0	297	0
TCGA-QK-A6VC	60	45	6	3	17	0	24	0	7
TCGA-QK-A8Z7	1	6	13	21	6	53	0	36	10
TCGA-QK-A8Z8	24	9	239	33	12	69	33	0	40
TCGA-QK-A8Z9	14	16	0	12	5	42	0	19	35
TCGA-QK-A8ZA	22	14	17	14	17	33	5	0	16
TCGA-QK-A8ZB	5	23	2	5	35	19	0	22	0
TCGA-QK-AA3J	29	23	3	14	0	0	23	0	50
