Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H	SBS96I
TCGA-CR-5243	4.78E-01	4.70E-01	5.38E-01	9.00E-01	9.92E-01	7.30E-01	6.42E-01	4.68E-01	1.97E-01
TCGA-CR-5247	3.44E-01	2.13E-01	4.56E-01	7.52E-01	8.98E-01	7.39E-01	9.09E-01	8.34E-01	8.76E-01
TCGA-CR-5248	3.78E+00	4.38E+00	4.57E-01	1.25E+00	2.65E+00	1.16E+00	1.09E+00	1.20E+00	2.70E-01
TCGA-CR-5249	2.90E-01	2.07E-01	1.45E-01	4.84E-01	4.70E-01	3.87E-01	3.48E-01	4.33E-01	3.63E-01
TCGA-CR-5250	3.68E-01	1.88E-01	4.59E-01	5.04E-01	5.44E-01	5.46E-01	5.77E-01	5.09E-01	6.28E-01
TCGA-CR-6467	5.46E-01	2.64E-01	2.94E-01	1.06E+00	9.62E-01	4.82E-01	5.14E-01	6.99E-01	3.46E-01
TCGA-CR-6470	3.49E-01	1.84E-01	0.00E+00	7.44E-01	6.45E-01	2.90E-01	1.47E-01	4.35E-01	2.95E-01
TCGA-CR-6471	7.94E-01	2.58E-01	7.73E-01	1.34E+00	1.60E+00	1.07E+00	1.08E+00	1.07E+00	9.54E-01
TCGA-CR-6472	7.29E+00	7.63E+00	1.00E+00	5.71E-01	4.28E+00	1.85E+00	1.61E+00	1.05E+00	3.63E-01
TCGA-CR-6473	9.20E-01	7.14E-01	4.09E-01	1.09E+00	1.01E+00	5.31E-01	6.33E-01	8.92E-01	3.74E-01
TCGA-CR-6474	5.25E-01	5.72E-01	8.85E-01	4.67E-01	9.45E-01	8.47E-01	7.94E-01	7.59E-01	8.15E-01
TCGA-CR-6477	5.50E-01	3.21E-01	4.27E-01	6.49E-01	1.13E+00	7.09E-01	6.78E-01	8.32E-01	7.72E-01
TCGA-CR-6478	9.33E-01	9.00E-01	9.99E-02	8.30E-01	1.08E+00	1.09E+00	8.75E-01	1.12E+00	8.80E-01
TCGA-CR-6480	1.67E+00	1.63E+00	3.50E-01	6.11E-01	8.63E-01	4.93E-01	4.26E-01	4.51E-01	4.82E-01
TCGA-CR-6481	8.04E+00	8.19E+00	7.69E-01	1.24E+00	2.78E+00	1.04E+00	1.39E+00	4.81E-01	4.00E-02
TCGA-CR-6482	3.38E-01	3.35E-01	3.12E-01	5.76E-01	4.70E-01	4.89E-01	4.46E-01	4.56E-01	2.83E-01
TCGA-CR-6484	3.21E+00	3.30E+00	3.19E-01	9.09E-01	1.66E+00	9.79E-01	1.12E+00	7.65E-01	4.63E-01
TCGA-CR-6487	1.10E+00	1.02E+00	2.13E-01	1.55E+00	1.62E+00	1.00E+00	8.08E-01	1.08E+00	4.72E-01
TCGA-CR-6488	2.20E-01	7.02E-02	4.56E-01	6.13E-01	5.57E-01	6.28E-01	3.64E-01	4.74E-01	1.36E-01
TCGA-CR-6491	5.52E-01	2.74E-01	6.46E-01	8.63E-01	1.11E+00	1.15E+00	9.01E-01	9.66E-01	1.18E+00
TCGA-CR-6492	4.50E-01	3.53E-01	8.00E-02	4.12E-01	4.63E-01	5.03E-01	3.98E-01	4.01E-01	5.81E-01
TCGA-CR-6493	2.43E-01	2.46E-01	4.08E-01	4.32E-01	5.40E-01	6.35E-01	5.32E-01	3.79E-01	3.01E-01
TCGA-CR-7364	1.14E+00	8.82E-01	3.58E+00	1.90E+00	2.40E+00	3.21E+00	3.79E+00	2.52E+00	1.77E+00
TCGA-CR-7365	1.83E+00	2.31E+00	5.32E-01	8.03E-01	1.74E+00	8.47E-01	1.00E+00	1.11E+00	7.61E-01
TCGA-CR-7367	8.52E-01	3.96E-01	1.05E+00	1.53E+00	1.69E+00	1.25E+00	1.04E+00	1.18E+00	9.15E-01
