Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F
TCGA-CV-A6K2	419	354	0	0	0	0
TCGA-CX-7082	13	6	13	18	0	55
TCGA-CX-7085	39	34	0	9	0	0
TCGA-CX-7086	51	46	19	16	77	42
TCGA-CX-7219	27	26	11	27	31	6
TCGA-CX-A4AQ	16	19	19	33	0	25
TCGA-D6-6515	2	13	0	18	0	6
TCGA-D6-6517	2	9	12	13	18	21
TCGA-D6-6823	8	10	15	8	12	59
TCGA-D6-6824	0	2	9	0	7	0
TCGA-D6-6825	5	13	2	22	32	8
TCGA-D6-6826	25	16	0	31	37	0
TCGA-D6-6827	0	0	0	4	3	5
TCGA-D6-8568	12	15	19	19	27	18
TCGA-D6-8569	0	10	21	19	43	52
TCGA-D6-A4Z9	8	0	19	20	22	37
TCGA-D6-A4ZB	52	0	20	17	8	22
TCGA-D6-A6EK	0	29	61	32	20	44
TCGA-D6-A6EM	0	16	14	36	0	34
TCGA-D6-A6EN	15	19	22	45	0	8
TCGA-D6-A6EO	2	16	0	6	68	5
TCGA-D6-A6EP	21	12	34	5	59	18
TCGA-D6-A6EQ	8	35	8	3	44	3
TCGA-D6-A6ES	140	22	19	36	0	18
TCGA-D6-A74Q	80	86	228	45	2	36
TCGA-DQ-5624	21	52	0	10	0	0
TCGA-DQ-5625	106	19	0	37	0	48
TCGA-DQ-5629	28	27	138	24	152	10
TCGA-DQ-5630	6	0	3	26	11	11
TCGA-DQ-5631	10	15	1	37	38	0
TCGA-DQ-7588	27	28	13	7	0	40
TCGA-DQ-7591	4	6	0	10	10	10
TCGA-DQ-7592	7	6	4	24	34	9
TCGA-DQ-7593	0	0	0	11	10	2
TCGA-DQ-7596	3	0	0	13	0	2
TCGA-F7-7848	12	26	199	5	95	33
TCGA-F7-8298	52	0	6	19	0	34
TCGA-F7-8489	25	27	16	18	0	34
TCGA-F7-A50G	43	0	3	55	9	2
TCGA-F7-A50I	8	20	43	26	29	25
TCGA-F7-A50J	75	20	12	52	10	6
TCGA-F7-A61S	8	7	21	56	0	30
TCGA-F7-A61V	18	28	18	5	34	11
TCGA-F7-A61W	4	0	6	6	0	58
TCGA-F7-A620	5	7	8	22	0	14
TCGA-F7-A622	0	0	2	32	6	23
TCGA-F7-A623	27	43	12	36	48	37
TCGA-H7-7774	4	23	20	61	9	23
TCGA-H7-8501	91	53	1	29	0	0
TCGA-H7-A6C4	0	3	1	25	0	2
TCGA-H7-A6C5	4	8	29	33	37	6
TCGA-H7-A76A	40	35	0	7	0	0
TCGA-HD-7229	29	5	36	56	21	14
TCGA-HD-7753	8	1	30	7	0	57
TCGA-HD-7754	0	16	0	36	14	3
TCGA-HD-7831	1	3	0	10	22	0
TCGA-HD-7832	5	41	2	16	15	37
TCGA-HD-8224	6	5	15	26	0	21
TCGA-HD-8314	16	59	2	0	0	0
TCGA-HD-8634	10	14	8	19	10	2
TCGA-HD-8635	86	28	39	25	21	37
TCGA-HD-A4C1	70	81	13	51	0	13
TCGA-HD-A633	43	52	24	24	11	0
TCGA-HD-A634	0	5	16	21	2	0
TCGA-HD-A6HZ	26	7	14	43	0	0
TCGA-HD-A6I0	6	19	8	47	0	4
TCGA-IQ-7630	27	3	10	103	0	2
TCGA-IQ-7631	1	4	1	25	6	0
TCGA-IQ-7632	0	6	6	5	7	17
TCGA-IQ-A61E	92	53	7	29	3	4
TCGA-IQ-A61G	10	13	20	35	53	18
TCGA-IQ-A61H	37	24	12	43	0	33
TCGA-IQ-A61I	33	113	0	1	0	0
TCGA-IQ-A61J	0	0	6	20	10	3
TCGA-IQ-A61O	0	7	6	24	4	0
TCGA-IQ-A6SG	2	7	39	27	9	31
TCGA-IQ-A6SH	4	19	0	28	21	14
TCGA-KU-A66S	74	0	155	13	259	0
TCGA-KU-A66T	9	14	14	50	24	6
TCGA-KU-A6H7	67	83	0	0	0	0
TCGA-KU-A6H8	0	0	3	7	0	11
TCGA-MT-A51W	33	2	7	4	0	23
TCGA-MT-A51X	3	0	0	29	25	0
TCGA-MT-A67A	7	2	3	69	24	11
TCGA-MT-A67D	0	19	7	34	19	26
TCGA-MT-A67F	135	187	0	0	0	0
TCGA-MT-A7BN	7	10	10	37	0	3
TCGA-MZ-A5BI	6	0	2	20	5	2
TCGA-MZ-A6I9	5	3	0	12	10	0
TCGA-MZ-A7D7	48	10	10	4	36	29
TCGA-P3-A5Q5	170	127	0	20	0	0
TCGA-P3-A5Q6	21	21	7	32	28	32
TCGA-P3-A5QA	0	0	11	57	3	0
TCGA-P3-A5QE	9	0	3	26	7	0
TCGA-P3-A5QF	222	214	0	0	0	0
TCGA-P3-A6SW	13	19	0	15	18	5
TCGA-P3-A6SX	35	0	43	29	24	70
TCGA-P3-A6T0	5	7	0	49	28	13
TCGA-P3-A6T2	10	31	12	24	0	0
TCGA-P3-A6T3	58	34	4	27	0	0
TCGA-P3-A6T4	73	24	1	3	41	20
TCGA-P3-A6T5	62	83	15	55	0	23
TCGA-P3-A6T6	48	49	25	14	8	10
TCGA-P3-A6T7	42	2	3	47	26	31
TCGA-P3-A6T8	0	6	1	22	36	30
TCGA-QK-A64Z	34	13	5	22	0	14
TCGA-QK-A652	1	7	9	14	9	7
TCGA-QK-A6IF	0	9	0	17	5	0
TCGA-QK-A6IG	45	26	11	49	0	0
TCGA-QK-A6IH	18	10	2	25	9	14
TCGA-QK-A6II	111	0	5	24	12	48
TCGA-QK-A6IJ	0	2	2	29	19	0
TCGA-QK-A6V9	5	19	1	46	0	11
TCGA-QK-A6VB	0	0	123	183	76	74
TCGA-QK-A6VC	63	82	10	0	0	7
TCGA-QK-A8Z7	5	3	18	30	73	17
TCGA-QK-A8Z8	13	31	292	43	23	57
TCGA-QK-A8Z9	20	20	6	19	25	53
TCGA-QK-A8ZA	21	28	22	18	28	21
TCGA-QK-A8ZB	33	2	3	19	54	0
TCGA-QK-AA3J	30	38	5	12	0	57
TCGA-QK-AA3K	7	9	11	19	27	31
TCGA-RS-A6TO	41	56	4	31	39	1
TCGA-RS-A6TP	71	68	0	15	0	0
TCGA-T2-A6WX	102	96	3	23	0	0
TCGA-T2-A6WZ	19	0	15	34	0	31
TCGA-T2-A6X0	1	8	2	51	1	2
TCGA-T2-A6X2	259	167	5	0	0	0
TCGA-T3-A92M	243	52	40	27	0	17
TCGA-T3-A92N	28	90	1	42	0	25
TCGA-TN-A7HI	1	18	9	35	0	0
TCGA-TN-A7HJ	32	55	6	8	0	0
TCGA-TN-A7HL	346	413	0	0	0	0
TCGA-UF-A718	2	1	23	24	0	12
TCGA-UF-A719	0	8	6	35	53	21
TCGA-UF-A71A	12	21	31	30	51	76
TCGA-UF-A71B	12	23	0	16	64	42
TCGA-UF-A71D	27	64	233	94	14	94
TCGA-UF-A71E	10	14	42	83	11	34
TCGA-UF-A7J9	77	29	90	42	0	31
TCGA-UF-A7JA	70	13	36	19	17	32
TCGA-UF-A7JC	4	10	10	14	0	22
TCGA-UF-A7JD	2	3	16	23	50	21
TCGA-UF-A7JF	15	21	31	11	9	39
TCGA-UF-A7JH	4	9	27	35	3	6
TCGA-UF-A7JJ	2	0	22	4	16	10
TCGA-UF-A7JK	2	6	30	58	0	34
TCGA-UF-A7JO	61	15	14	81	0	7
TCGA-UF-A7JS	15	0	14	27	17	6
TCGA-UF-A7JT	94	52	20	53	0	0
TCGA-UF-A7JV	37	45	0	0	0	5
TCGA-UP-A6WW	0	4	0	21	20	0
TCGA-WA-A7GZ	68	47	29	45	0	40
TCGA-WA-A7H4	18	0	4	15	0	14
