Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
TCGA-P3-A6T8	0	10	31	13	41
TCGA-QK-A64Z	40	5	26	1	16
TCGA-QK-A652	2	11	17	8	9
TCGA-QK-A6IF	0	0	18	13	0
TCGA-QK-A6IG	53	10	52	16	0
TCGA-QK-A6IH	21	3	29	8	17
TCGA-QK-A6II	115	7	24	0	54
TCGA-QK-A6IJ	0	10	39	3	0
TCGA-QK-A6V9	7	0	46	22	7
TCGA-QK-A6VB	0	144	218	0	94
TCGA-QK-A6VC	75	2	0	85	0
TCGA-QK-A8Z7	7	44	52	3	40
TCGA-QK-A8Z8	18	303	46	33	59
TCGA-QK-A8Z9	22	10	22	27	62
TCGA-QK-A8ZA	25	29	21	37	26
TCGA-QK-A8ZB	37	22	35	0	17
TCGA-QK-AA3J	35	0	7	44	56
TCGA-QK-AA3K	8	18	26	12	40
TCGA-RS-A6TO	50	10	35	69	8
TCGA-RS-A6TP	79	0	8	67	0
TCGA-T2-A6WX	111	0	11	102	0
TCGA-T2-A6WZ	19	14	35	0	31
TCGA-T2-A6X0	3	1	54	4	3
TCGA-T2-A6X2	301	0	0	130	0
TCGA-T3-A92M	273	46	36	0	24
TCGA-T3-A92N	34	0	26	117	9
TCGA-TN-A7HI	3	6	33	21	0
TCGA-TN-A7HJ	37	0	0	64	0
TCGA-TN-A7HL	413	0	0	346	0
TCGA-UF-A718	2	23	26	0	11
TCGA-UF-A719	0	23	50	14	36
TCGA-UF-A71A	14	44	40	30	93
TCGA-UF-A71B	15	16	28	36	62
TCGA-UF-A71D	30	230	89	91	86
TCGA-UF-A71E	12	45	90	10	37
TCGA-UF-A7J9	89	92	49	7	32
TCGA-UF-A7JA	77	43	26	0	41
TCGA-UF-A7JC	5	8	14	11	22
TCGA-UF-A7JD	3	33	39	2	38
TCGA-UF-A7JF	18	32	10	26	40
TCGA-UF-A7JH	5	27	35	12	5
TCGA-UF-A7JJ	2	28	8	0	16
TCGA-UF-A7JK	4	30	61	2	33
TCGA-UF-A7JO	67	15	90	0	6
TCGA-UF-A7JS	15	21	34	0	9
TCGA-UF-A7JT	106	17	53	43	0
TCGA-UF-A7JV	43	0	0	43	1
TCGA-UP-A6WW	1	5	29	5	5
TCGA-WA-A7GZ	80	26	48	33	42
TCGA-WA-A7H4	19	3	15	0	14
