Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-CX-7085	34	33	0	13	0	0	0	2
TCGA-CX-7086	43	37	14	14	0	46	66	31
TCGA-CX-7219	22	20	8	12	66	0	0	0
TCGA-CX-A4AQ	13	15	16	24	20	0	9	15
TCGA-D6-6515	1	8	0	14	11	0	2	3
TCGA-D6-6517	2	6	9	8	0	10	27	13
TCGA-D6-6823	7	6	12	0	43	0	4	40
TCGA-D6-6824	0	1	10	0	0	0	7	0
TCGA-D6-6825	3	9	0	15	28	16	6	5
TCGA-D6-6826	20	16	0	29	0	26	17	1
TCGA-D6-6827	0	0	0	2	0	0	9	1
TCGA-D6-8568	9	12	12	17	0	27	20	13
TCGA-D6-8569	1	4	17	10	8	17	52	36
TCGA-D6-A4Z9	7	1	13	12	30	16	3	24
TCGA-D6-A4ZB	46	3	15	7	23	0	14	11
TCGA-D6-A6EK	0	18	37	24	0	49	27	31
TCGA-D6-A6EM	0	11	8	27	25	6	0	23
TCGA-D6-A6EN	11	14	14	27	43	0	0	0
TCGA-D6-A6EO	2	9	0	3	33	32	18	0
TCGA-D6-A6EP	18	12	30	11	0	42	18	18
TCGA-D6-A6EQ	8	19	12	0	12	0	50	0
TCGA-D6-A6ES	116	41	14	24	27	0	1	12
TCGA-D6-A74Q	62	71	192	30	52	37	11	22
TCGA-DQ-5624	17	38	0	11	3	0	13	1
TCGA-DQ-5625	86	34	0	26	27	0	0	37
TCGA-DQ-5629	24	22	111	31	0	120	59	12
TCGA-DQ-5630	6	0	4	20	0	0	19	8
TCGA-DQ-5631	8	11	0	31	14	24	13	0
TCGA-DQ-7588	20	24	3	7	0	26	0	35
TCGA-DQ-7591	4	3	0	4	2	0	23	4
TCGA-DQ-7592	7	4	5	16	0	7	42	3
TCGA-DQ-7593	0	0	0	7	14	2	0	0
TCGA-DQ-7596	3	0	0	9	6	0	0	0
TCGA-F7-7848	10	17	176	0	78	61	3	25
TCGA-F7-8298	44	11	6	17	0	0	0	33
TCGA-F7-8489	21	24	18	18	0	0	8	31
TCGA-F7-A50G	34	7	0	35	36	0	0	0
TCGA-F7-A50I	8	13	38	18	15	9	34	16
TCGA-F7-A50J	62	29	9	37	35	0	3	0
TCGA-F7-A61S	7	7	17	39	21	0	16	15
TCGA-F7-A61V	14	22	10	10	2	43	0	13
TCGA-F7-A61W	5	0	7	5	0	0	7	50
TCGA-F7-A620	3	7	6	21	0	7	0	12
TCGA-F7-A622	0	0	0	24	14	7	0	18
TCGA-F7-A623	23	32	12	26	29	11	43	27
TCGA-H7-7774	4	14	14	42	7	0	50	9
TCGA-H7-8501	75	55	7	33	0	0	0	4
TCGA-H7-A6C4	0	2	0	20	9	0	0	0
TCGA-H7-A6C5	4	5	26	17	53	0	12	0
TCGA-H7-A76A	35	36	0	11	0	0	0	0
TCGA-HD-7229	24	12	26	47	0	31	10	11
TCGA-HD-7753	7	3	25	4	5	10	3	46
TCGA-HD-7754	0	9	0	18	42	0	0	0
TCGA-HD-7831	0	2	0	8	17	9	0	0
TCGA-HD-7832	5	24	0	3	33	0	29	22
TCGA-HD-8224	5	6	15	22	0	0	7	18
TCGA-HD-8314	12	43	3	7	3	8	0	1
TCGA-HD-8634	8	9	5	11	19	0	11	0
TCGA-HD-8635	70	36	26	22	0	37	18	27
TCGA-HD-A4C1	56	64	10	40	0	0	52	6
TCGA-HD-A633	33	42	14	23	12	30	0	0
TCGA-HD-A634	0	5	10	17	0	12	0	0
TCGA-HD-A6HZ	19	11	8	32	0	4	16	0
TCGA-HD-A6I0	3	16	4	43	0	14	0	4
TCGA-IQ-7630	20	14	13	90	0	0	0	8
TCGA-IQ-7631	1	3	0	15	9	0	9	0
TCGA-IQ-7632	0	3	4	1	7	2	13	11
TCGA-IQ-A61E	75	50	3	20	34	0	6	0
