Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G	SBS96H
TCGA-F7-8298	1.16E+00	1.10E+00	5.66E-01	6.44E-01	8.51E-01	7.40E-01	4.71E-01	7.53E-01
TCGA-F7-8489	9.38E-01	8.52E-01	7.67E-01	7.77E-01	8.95E-01	7.77E-01	9.60E-01	1.01E+00
TCGA-F7-A50G	9.36E-01	8.88E-01	4.01E-01	1.44E+00	1.31E+00	5.73E-01	9.50E-01	2.93E-01
TCGA-F7-A50I	4.93E-01	6.19E-01	1.03E+00	9.29E-01	1.13E+00	1.15E+00	1.21E+00	1.01E+00
TCGA-F7-A50J	1.38E+00	1.54E+00	7.25E-01	1.11E+00	1.32E+00	1.04E+00	1.10E+00	6.99E-01
TCGA-F7-A61S	3.15E-01	8.43E-01	6.70E-01	1.17E+00	1.35E+00	6.50E-01	1.11E+00	9.88E-01
TCGA-F7-A61V	7.19E-01	8.16E-01	9.57E-01	7.17E-01	1.20E+00	1.27E+00	8.65E-01	7.94E-01
TCGA-F7-A61W	2.75E-01	2.84E-01	4.27E-01	4.31E-01	9.13E-01	8.62E-01	1.04E+00	1.02E+00
TCGA-F7-A620	3.94E-01	5.19E-01	4.89E-01	6.32E-01	7.71E-01	6.85E-01	7.25E-01	5.97E-01
TCGA-F7-A622	2.22E-01	2.15E-01	3.54E-01	8.18E-01	1.03E+00	7.19E-01	5.50E-01	7.18E-01
TCGA-F7-A623	1.03E+00	8.92E-01	7.25E-01	1.31E+00	1.36E+00	1.10E+00	1.43E+00	1.25E+00
TCGA-H7-7774	3.75E-01	9.21E-01	8.35E-01	1.63E+00	1.48E+00	9.15E-01	1.62E+00	7.70E-01
TCGA-H7-8501	2.56E+00	2.55E+00	4.65E-01	1.12E+00	9.62E-01	4.01E-01	6.60E-01	4.65E-01
TCGA-H7-A6C4	0.00E+00	2.95E-01	2.23E-02	6.06E-01	5.60E-01	2.27E-01	4.58E-01	2.47E-01
TCGA-H7-A6C5	3.25E-01	6.11E-01	8.20E-01	1.10E+00	1.17E+00	9.75E-01	1.15E+00	6.42E-01
TCGA-H7-A76A	1.18E+00	1.32E+00	3.12E-01	5.85E-01	5.41E-01	4.40E-01	5.94E-01	3.67E-01
TCGA-HD-7229	8.89E-01	7.80E-01	1.42E+00	1.24E+00	1.58E+00	1.65E+00	1.26E+00	9.37E-01
TCGA-HD-7753	4.87E-01	3.33E-01	9.02E-01	3.71E-01	9.30E-01	1.09E+00	9.87E-01	1.18E+00
TCGA-HD-7754	0.00E+00	6.85E-01	1.68E-01	1.35E+00	1.18E+00	4.06E-01	9.64E-01	4.40E-01
TCGA-HD-7831	1.28E-01	2.87E-01	2.56E-01	5.57E-01	6.66E-01	5.22E-01	5.28E-01	4.14E-01
TCGA-HD-7832	5.49E-01	8.66E-01	4.01E-01	1.06E+00	1.20E+00	7.57E-01	1.38E+00	9.19E-01
TCGA-HD-8224	2.94E-01	4.04E-01	6.82E-01	7.40E-01	7.35E-01	6.38E-01	7.44E-01	6.51E-01
TCGA-HD-8314	1.17E+00	1.09E+00	3.55E-01	5.32E-01	6.82E-01	5.75E-01	5.24E-01	4.57E-01
TCGA-HD-8634	4.00E-01	5.20E-01	4.47E-01	9.00E-01	7.07E-01	4.51E-01	8.61E-01	3.14E-01
TCGA-HD-8635	2.01E+00	1.89E+00	9.33E-01	1.04E+00	1.39E+00	1.46E+00	1.32E+00	1.21E+00
TCGA-HD-A4C1	2.01E+00	2.03E+00	6.48E-01	1.38E+00	1.60E+00	8.02E-01	1.61E+00	1.05E+00
TCGA-HD-A633	1.53E+00	1.30E+00	9.08E-01	1.04E+00	1.19E+00	1.18E+00	8.76E-01	2.16E-01
TCGA-HD-A634	9.63E-02	3.36E-01	5.73E-01	5.75E-01	5.73E-01	6.05E-01	4.80E-01	1.24E-01
TCGA-HD-A6HZ	5.84E-01	6.14E-01	6.18E-01	8.42E-01	8.28E-01	7.47E-01	8.53E-01	2.34E-01
TCGA-HD-A6I0	3.69E-01	5.66E-01	3.77E-01	9.69E-01	9.53E-01	7.43E-01	9.51E-01	4.19E-01
TCGA-IQ-7630	7.54E-01	8.75E-01	5.70E-01	1.51E+00	1.29E+00	3.57E-01	9.10E-01	4.37E-01
TCGA-IQ-7631	1.38E-01	3.86E-01	2.33E-01	8.07E-01	7.03E-01	2.54E-01	5.86E-01	2.49E-01
TCGA-IQ-7632	1.33E-01	4.51E-01	3.64E-01	5.29E-01	6.53E-01	5.88E-01	6.17E-01	6.40E-01
TCGA-IQ-A61E	2.43E+00	2.47E+00	3.61E-01	9.76E-01	1.10E+00	6.52E-01	9.42E-01	4.52E-01
TCGA-IQ-A61G	4.63E-01	7.58E-01	1.06E+00	1.13E+00	1.40E+00	1.06E+00	1.46E+00	9.66E-01
TCGA-IQ-A61H	9.86E-01	1.14E+00	5.00E-01	1.09E+00	1.19E+00	9.45E-01	1.24E+00	8.99E-01
TCGA-IQ-A61I	2.39E+00	2.47E+00	2.48E-01	9.28E-01	8.64E-01	3.93E-01	6.13E-01	3.07E-01
TCGA-IQ-A61J	0.00E+00	2.15E-01	3.84E-01	6.83E-01	6.95E-01	4.57E-01	6.72E-01	3.73E-01
TCGA-IQ-A61O	6.31E-02	3.78E-01	2.78E-01	7.32E-01	5.64E-01	4.98E-01	6.76E-01	2.42E-01
