"","gene_name","n_syn","n_mis","n_non","n_spl","n_ind","wmis_cv","wnon_cv","wspl_cv","wind_cv","pmis_cv","ptrunc_cv","pallsubs_cv","pind_cv","qmis_cv","qtrunc_cv","qallsubs_cv","qind_cv","pglobal_cv","qglobal_cv"
"8984","KIAA0895L",1,1,0,0,0,0.873533311323219,0,0,0,0.899363643041247,0.670693519852902,0.907948576798031,1,0.977529621904305,0.878855561841508,0.944133487671733,1,0.995626933190119,0.999999897690459
"4349","CRYGC",0,1,0,0,0,1.119100948085,0,0,0,0.91977769998683,0.672117465174333,0.907985592322168,1,0.98126878560086,0.878855561841508,0.944133487671733,1,0.995630506933539,0.999999897690459
"15779","SIRPD",0,1,0,0,0,1.22139835650852,0,0,0,0.85926579748275,0.692778885569985,0.908017592006461,1,0.966844018770947,0.878855561841508,0.944133487671733,1,0.995633595195773,0.999999897690459
"12948","PIGC",2,1,0,0,0,0.853590027774117,0,0,0,0.88047101123731,0.676569298600759,0.908035704974923,1,0.972947857577315,0.878855561841508,0.944133487671733,1,0.995635342763086,0.999999897690459
"15956","SLC25A41",0,1,0,0,0,1.18921670675405,0,0,0,0.877543427366978,0.685401460488289,0.908053645342292,1,0.972648022363205,0.878855561841508,0.944133487671733,1,0.995637073321419,0.999999897690459
"327","AC087239.1",0,0,0,0,0,0,0,0,0,0.68581276384176,0.863993523515753,0.908246907632279,1,0.91806410998346,0.891098756831492,0.944133487671733,1,0.995655693256608,0.999999897690459
"2848","CA9",0,1,0,0,0,1.03660616076458,0,0,0,0.974117249070334,0.663228879108884,0.908360289036006,1,0.993366658907028,0.878855561841508,0.944133487671733,1,0.99566659789424,0.999999897690459
"10847","MTHFS",1,1,0,0,0,1.10875393355406,0,0,0,0.925164272704186,0.67111584741612,0.908438096845849,1,0.983186606348234,0.878855561841508,0.944133487671733,1,0.995674072996156,0.999999897690459
"5939","EXOSC3",0,1,0,0,0,1.32531202448581,0,0,0,0.804539812151518,0.723814290055558,0.908470602060402,1,0.949874206143042,0.878855561841508,0.944133487671733,1,0.995677193842632,0.999999897690459
"4961","DEGS1",0,1,0,0,0,1.38178081205811,0,0,0,0.777300740102436,0.74453509906492,0.908554743062145,1,0.941746781034364,0.878855561841508,0.944133487671733,1,0.995685266872436,0.999999897690459
"2742","C7orf26",1,1,0,0,0,0.894598712454043,0,0,0,0.917254618868879,0.667987387475231,0.908568643175815,1,0.981033162945617,0.878855561841508,0.944133487671733,1,0.995686599788904,0.999999897690459
"5989","FABP7",0,1,0,0,0,1.34224777285305,0,0,0,0.796196419322515,0.729873609034573,0.908574109377292,1,0.94774623542637,0.878855561841508,0.944133487671733,1,0.9956871238983,0.999999897690459
"9992","MAEA",0,1,0,0,0,1.04546255926855,0,0,0,0.968024787809706,0.66436655658951,0.908607341077671,1,0.991805290145265,0.878855561841508,0.944133487671733,1,0.995690309506829,0.999999897690459
"8831","KCNG3",1,2,0,0,0,1.07534223177955,0,0,0,0.930174260709949,0.671342297575324,0.908702342113307,1,0.984103795256639,0.878855561841508,0.944133487671733,1,0.995699409653143,0.999999897690459
"17663","TMEM110",1,1,0,0,0,1.05939724389714,0,0,0,0.957908626693481,0.665618562267973,0.908741749401232,1,0.989993357027352,0.878855561841508,0.944133487671733,1,0.995703181561582,0.999999897690459
"8704","ITM2C",2,1,0,0,0,1.19205687100553,0,0,0,0.87273851400236,0.687287905742877,0.908768387223557,1,0.970318097515716,0.878855561841508,0.944133487671733,1,0.995705730259711,0.999999897690459
"17062","SYT8",0,1,0,0,0,1.13472582741769,0,0,0,0.910067079737173,0.67633452508689,0.90887156219173,1,0.979022316175506,0.878855561841508,0.944133487671733,1,0.995715594638128,0.999999897690459
"10710","MRPL44",0,1,0,0,0,1.20778413863811,0,0,0,0.866916753754048,0.691349214395891,0.908945320640035,1,0.96824715520756,0.878855561841508,0.944133487671733,1,0.99572263937499,0.999999897690459
"7437","GPR65",1,1,0,0,0,0.824589521316419,0,0,0,0.855903814823933,0.686638704947607,0.908995707412007,1,0.965631375989872,0.878855561841508,0.944133487671733,1,0.995727448420685,0.999999897690459
"12844","PGC",0,1,0,0,0,1.04220096144981,0,0,0,0.970260972086057,0.664890400130782,0.909039501940254,1,0.992430624544177,0.878855561841508,0.944133487671733,1,0.995731626016559,0.999999897690459
"6310","FAM98C",2,1,0,0,0,1.02433602747116,0,0,0,0.982179970989452,0.663373208515436,0.909044324527598,1,0.995281265032504,0.878855561841508,0.944133487671733,1,0.995732085918148,0.999999897690459
"11569","NPIPB15",1,1,0,0,0,1.13353599654878,0,0,0,0.909436693082279,0.676353414762783,0.909116027617536,1,0.979022316175506,0.878855561841508,0.944133487671733,1,0.995738920799116,0.999999897690459
"1560","ART5",0,1,0,0,0,1.2739739867083,0,0,0,0.830791834447857,0.709274327440722,0.909191481651505,1,0.957830463106779,0.878855561841508,0.944133487671733,1,0.995746107120718,0.999999897690459
"13733","PRRG1",0,1,0,0,0,1.25432806653637,0,0,0,0.841236868170365,0.703918865049691,0.909293377373932,1,0.96155714390458,0.878855561841508,0.944133487671733,1,0.995755801838601,0.999999897690459
"2137","BTBD17",0,1,0,0,0,0.743890468276233,0,0,0,0.782195539442056,0.728529656700995,0.909345185983622,1,0.942788434570091,0.878855561841508,0.944133487671733,1,0.995760726713314,0.999999897690459
"7343","GPER1",2,2,0,0,0,1.2449053884764,0,0,0,0.790299122847399,0.735898021566646,0.909350357795344,1,0.946111528984724,0.878855561841508,0.944133487671733,1,0.995761218178535,0.999999897690459
"2523","C1QTNF1",0,1,0,0,0,1.25736445413144,0,0,0,0.839607611880842,0.705176321789476,0.909495140342317,1,0.961429024829007,0.878855561841508,0.944133487671733,1,0.995774964589815,0.999999897690459
"17269","TCEAL5",0,1,0,0,0,0.938316299886682,0,0,0,0.953691794129776,0.664650872439324,0.909616349560639,1,0.98980949683944,0.878855561841508,0.944133487671733,1,0.995786455101506,0.999999897690459
"1468","ARID3A",0,1,0,0,0,0.882323521384083,0,0,0,0.908496581881634,0.671276465100646,0.909619183771728,1,0.978849403474226,0.878855561841508,0.944133487671733,1,0.995786723588602,0.999999897690459
"13104","PLCXD2",0,1,0,0,0,1.20544653341434,0,0,0,0.868242338177611,0.692346084135277,0.90972632801149,1,0.96883403589705,0.878855561841508,0.944133487671733,1,0.99579686697167,0.999999897690459
"5203","DNAJC25",0,1,0,0,0,1.15921261846767,0,0,0,0.895198994065258,0.682468690735128,0.909743414685209,1,0.976264945160275,0.878855561841508,0.944133487671733,1,0.99579848340641,0.999999897690459
"887","AL163636.6",0,0,0,0,0,0,0,0,0,0.678688222297984,0.89382268624141,0.909786947236517,1,0.915429075825507,0.908915050643592,0.944133487671733,1,0.995802600225622,0.999999897690459
"8364","IGFBP3",1,1,0,0,0,0.832582629673401,0,0,0,0.863187197178037,0.685570720385223,0.909846018706888,1,0.967653943672801,0.878855561841508,0.944133487671733,1,0.995808183210112,0.999999897690459
"12158","OR52K1",2,2,0,0,0,1.02943122859989,0,0,0,0.97141861735404,0.666169495673733,0.909850627234174,1,0.992430624544177,0.878855561841508,0.944133487671733,1,0.995808618611656,0.999999897690459
"917","AL445665.1",0,0,0,0,0,0,0,0,0,0.677484905177851,0.898588343414845,0.909868991201462,1,0.914931187096836,0.911840921639863,0.944133487671733,1,0.995810353359183,0.999999897690459
"17647","TMED8",0,1,0,0,0,1.16178519687013,0,0,0,0.893661237922047,0.683224410878544,0.909875088405544,1,0.975889355868557,0.878855561841508,0.944133487671733,1,0.995810929248065,0.999999897690459
"7208","GNA13",1,1,0,0,0,0.920696163873889,0,0,0,0.938769876405172,0.667021314456394,0.909891249312893,1,0.986167330586237,0.878855561841508,0.944133487671733,1,0.995812455469183,0.999999897690459
"10832","MTERFD3",1,1,0,0,0,0.932354080034014,0,0,0,0.94815512178702,0.665968989266201,0.909920585587729,1,0.988999320400132,0.878855561841508,0.944133487671733,1,0.995815225226356,0.999999897690459
"13695","PRPSAP1",0,1,0,0,0,1.01413579630396,0,0,0,0.98986928177173,0.664802953175772,0.909957995879453,1,0.997365282852349,0.878855561841508,0.944133487671733,1,0.995818755912244,0.999999897690459
