feature	coef	exp(coef)	zscore	p	lower 95%	upper 95%	q
SH3BGRL|6451	-0.0711914545226946	0.9312835766058278	-0.9550916693705844	0.3395313414266659	0.8047006318004782	1.0777785747666506	0.695646718106485
DSG1|1828	-0.017962203441501307	0.9821981553667719	-0.9547303904110546	0.3397140571481274	0.9466396528534713	1.019092337298505	0.695646718106485
PCSK9|255738	-0.0370596121374902	0.9636186902670061	-0.9552508042229056	0.33945087946297475	0.893063347008629	1.0397481694240085	0.695646718106485
PTMA|5757	-0.12386255622877522	0.8835012642837596	-0.9515887902085224	0.34130556881138624	0.6845598435698861	1.1402574827065701	0.6958319445695947
RBP1|5947	0.04359987059701277	1.0445643103641806	0.9516645399002895	0.3412671385053577	0.9548561666781438	1.1427004784212507	0.6958319445695947
F13A1|2162	0.03675811414772221	1.0374420479320303	0.9523792371025263	0.340904685521243	0.961857631994265	1.1189660164008788	0.6958319445695947
PGD|5226	0.06165922999571371	1.0635998400441296	0.9523642778165974	0.3409122694767977	0.9368469455127576	1.2075020633415656	0.6958319445695947
HLA-DRA|3122	-0.0436805972881239	0.9572596599807102	-0.9494551991331664	0.34238914744042326	0.8747207200376981	1.047587001925475	0.6966208493192741
NOTCH1|4851	-0.06559934127544984	0.936506008437087	-0.9498493570417198	0.34218880250978806	0.8179450525591275	1.07225234885245	0.6966208493192741
IGFBP7|3490	0.07732034671784958	1.0803881197508798	0.947294188408875	0.3434888913993054	0.9206673832892136	1.2678177922722946	0.6967320312359135
ROMO1|140823	0.07068182591920015	1.073239694484751	0.9478865637313166	0.34318720583111295	0.9273090352590838	1.2421354672726816	0.6967320312359135
TCP1|6950	0.14521974783502922	1.1562936353749023	0.9479614007092382	0.3431491048196501	0.8563892107071516	1.5612235120343072	0.6967320312359135
STOM|2040	-0.0970379617388809	0.9075215543830764	-0.9456663739106382	0.3443187785844496	0.7421852796556261	1.1096897152851417	0.6977077580232008
ISLR|3671	-0.039486565713107824	0.9612828680536863	-0.944864534581485	0.34472803975255895	0.885684165246139	1.0433343946673312	0.6978300399849371
PXDN|7837	0.04430833914034298	1.0453046135293467	0.9419678841742797	0.3462090827599381	0.953243824416786	1.1462562956904017	0.699372207497867
AMOTL1|154810	-0.0783290030725436	0.9246601604601956	-0.9420597800722859	0.3461620346821598	0.7856112435175002	1.0883199793756884	0.699372207497867
CLPTM1L|81037	0.11450662868156734	1.1213200739130327	0.9413238409345908	0.3465389288151931	0.8834578361582192	1.42322435400884	0.699372207497867
ATP5B|506	0.1456579086110818	1.156800388903175	0.9308011106370875	0.35195645509088114	0.8512493310948144	1.5720272438222758	0.7013838921862121
FKBP8|23770	-0.13885575268747335	0.8703535655666197	-0.933322592455731	0.35065343369692725	0.6502158912418455	1.1650212480161808	0.7013838921862121
DIAPH1|1729	0.11967063959576177	1.127125559908306	0.9301123336696975	0.3523129255249786	0.8758999945053823	1.4504076216098276	0.7013838921862121
KRT16|3868	-0.02592864809922113	0.9744046127496631	-0.9328930057666539	0.3508752139681006	0.9227439360524836	1.028957560436157	0.7013838921862121
COL5A1|1289	0.0410027616926578	1.041854982824763	0.9322269422355034	0.35121925456013126	0.9558028162435369	1.1356545375152078	0.7013838921862121
LCP1|3936	-0.0478656155304408	0.9532618820626957	-0.9351502981388817	0.34971084832454247	0.8622704916815565	1.0538551702280752	0.7013838921862121
ECH1|1891	-0.1106956023714543	0.8952112076276857	-0.9313783631576842	0.3516578791194176	0.7091841715609726	1.1300352410548946	0.7013838921862121
ANKH|56172	-0.07349674865052273	0.9291391667427523	-0.9300012500433706	0.3523704372670696	0.7958137780379522	1.0848010112414082	0.7013838921862121
ERMP1|79956	0.06350186679546088	1.065561474984935	0.9340816000955736	0.35026180245604954	0.9326336821026696	1.2174353969419223	0.7013838921862121
GABARAP|11337	-0.1259655632860409	0.8816452072244707	-0.9298564658992258	0.35244540582357153	0.6760572789114898	1.1497520930081497	0.7013838921862121
DMBT1|1755	-0.0190408323072293	0.9811392992435778	-0.9316421279312624	0.3515215038151882	0.9426139830927821	1.0212391729663384	0.7013838921862121
PGM1|5236	0.10679579934985395	1.1127070157829255	0.9322603907199348	0.35120197237866657	0.8889365945752508	1.3928067654410574	0.7013838921862121
CTSC|1075	0.06856705242758318	1.0709724338450362	0.93854112969451	0.3479663904550594	0.9280941029346927	1.2358466134297483	0.7013838921862121
SULF1|23213	0.03756367689468915	1.0382781093027165	0.931295628544053	0.35170066261480315	0.9593577853031734	1.1236907114028896	0.7013838921862121
SERPINA3|12	0.024855241123171123	1.0251667078014748	0.9271767054584342	0.3538347953817873	0.9726933643071554	1.080470801333278	0.7014815566440008
SPINT1|6692	0.09353604830468323	1.0980501854755045	0.9282829873969721	0.35326079654307163	0.9012661392756941	1.337800409090889	0.7014815566440008
TNFSF10|8743	0.054307269638357046	1.0558089703587739	0.9286471679790161	0.3530719688739574	0.9414713242756503	1.1840324321590014	0.7014815566440008
RPL23A|6147	0.09260338290235005	1.0970265494866236	0.9270560273745637	0.3538974453268984	0.9019673974140706	1.3342691251688843	0.7014815566440008
ACAP2|23527	-0.0767991362371132	0.9260758500058525	-0.9248149365288356	0.3550621797420064	0.7869741699110369	1.08976445829348	0.7030934252316958
RPL19|6143	0.10229730194591935	1.10771274793376	0.9222060151930803	0.3564211260972716	0.8912635509801743	1.3767280515236244	0.7043238919694316
CAPN2|824	0.1251178275836916	1.1332819770772664	0.9221203088687003	0.35646582472574484	0.8686458759919604	1.4785404214364157	0.7043238919694316
KLK1|3816	0.034858056727984595	1.0354727199818763	0.9215946478394905	0.35674005128251707	0.9614863606209012	1.115152328457645	0.7043238919694316
CDKN2B|1030	-0.022490740181490096	0.977760291034259	-0.9181848258057981	0.35852211147992286	0.9319280776340164	1.025846532224391	0.7064475103052668
F11R|50848	0.1118083559007331	1.118298524794105	0.9182499379683259	0.35848802985340533	0.8808731500984754	1.4197181403665946	0.7064475103052668
PEBP1|5037	-0.12198501049883044	0.8851616365345724	-0.915480748806106	0.3599393043355946	0.6817145763924846	1.1493242919034643	0.7079008894376388
PRDX5|25824	0.0838097463905158	1.0874219881688962	0.9154268230452364	0.35996760227903934	0.9088000833571992	1.3011514875581554	0.7079008894376388
CALM1|801	0.12247274472801654	1.1302883133387902	0.9147022864103145	0.360347943728478	0.8693983928098452	1.4694663365333287	0.7079527381698978
GNB2L1|10399	0.1032882273112261	1.108810952622739	0.9135615967063395	0.36094725337106837	0.8884229576213497	1.3838698314909468	0.708434255880409
EPHB4|2050	-0.10486408455170038	0.9004468989135964	-0.9126969002051223	0.36140197467375	0.7188851558198736	1.1278639031548883	0.7086313228897059
JAK1|3716	-0.1037504166286582	0.9014502563411088	-0.9079037096130265	0.36392909753043223	0.7205613651338726	1.1277492854567297	0.7101196787316055
RPL35|11224	0.07016145482217341	1.0726813568515419	0.9072182490564139	0.36429139518931364	0.921810045789286	1.2482455562215555	0.7101196787316055
CHI3L1|1116	0.030428276295376182	1.0308959477206514	0.9093588579177758	0.36316073141748473	0.9654561917397327	1.1007712873142512	0.7101196787316055
PLXNB2|23654	-0.11009830786522386	0.8957460720838167	-0.9081268040902282	0.36381123038076124	0.706298096843488	1.1360090438292447	0.7101196787316055
CLIC3|9022	-0.03220763076627373	0.968305511190393	-0.9074086984486449	0.3641907112517737	0.9032329947164517	1.038066111940508	0.7101196787316055
LUM|4060	-0.04203960183323972	0.958831808323226	-0.9090335358780672	0.3633324239657961	0.8757443764529403	1.0498022726404466	0.7101196787316055
NOP56|10528	0.10492587431881653	1.110628281226504	0.9055981383007172	0.3651485945473244	0.8850044207388679	1.3937729011910749	0.7107266593744686
FGFBP1|9982	0.03460992555119054	1.0352158187912446	0.9052867332903928	0.36531350291847686	0.9604808261502905	1.1157659396190152	0.7107266593744686
C1S|716	-0.05740902944911915	0.9442077815816148	-0.904244704758948	0.3658656600914253	0.8337314228872926	1.069323178094722	0.7111091546966478
EHBP1L1|254102	-0.09968650909652088	0.9051211208024362	-0.9017950891210403	0.36716572899243494	0.7288076411657523	1.1240884384969532	0.7122516566293597
SERPINB2|5055	-0.02616743441352537	0.974171966041074	-0.902457029500812	0.366814138043974	0.9203529006122073	1.0311381849169607	0.7122516566293597
YWHAZ|7534	0.10249918787754653	1.10793640212941	0.9002906621082115	0.36796558912659527	0.8863484708149628	1.3849215196758926	0.7131116068344869
DVL3|1857	0.08486531775725151	1.0885704457159802	0.8967666782960679	0.3698434321243955	0.9042807128744955	1.3104178806595324	0.7160569837839217
RARG|5916	-0.0990184537735618	0.9057259938069301	-0.8904282980435815	0.37323595321579683	0.7283506595360904	1.1262975671362079	0.716383787362374
NAP1L1|4673	0.12781254667418454	1.136339972024017	0.8943662886622934	0.37112594329525517	0.8587452467009384	1.5036689134294952	0.716383787362374
ITGB2|3689	-0.043826979917388945	0.9571195440503122	-0.8923665234226453	0.37219650839480833	0.8692825239387009	1.0538320929912959	0.716383787362374
GBP6|163351	-0.03684734453094073	0.9638232570106938	-0.8914119817267749	0.37270819213837303	0.8888166734249376	1.045159590869392	0.716383787362374
LOC642587|642587	-0.05332097212085914	0.9480756577856105	-0.8905599973223888	0.37316526775775194	0.8430989599647785	1.0661233088499702	0.716383787362374
RPL6|6128	0.11657843418040789	1.1236456392357874	0.8923622420939931	0.3721988024359332	0.8698175796828188	1.4515451883991632	0.716383787362374
VSIG10L|147645	-0.0324717988577142	0.9680497495550895	-0.8920855561505731	0.37234707615048424	0.9013927296440752	1.0396359841771785	0.716383787362374
ACTA2|59	0.04957063591119354	1.0508198152085366	0.8949464052702838	0.3708157384760056	0.942715448148829	1.1713208754595232	0.716383787362374
LAPTM5|7805	-0.04971523069803028	0.9515003440128915	-0.8924723895144857	0.372139785528512	0.853085802061331	1.0612682832946296	0.716383787362374
SIK1|150094	0.0640548894277024	1.0661509175691684	0.886933259030905	0.375114834081377	0.9254316812111049	1.228267631324247	0.7192997777207614
COPG|22820	0.12745988165861843	1.1359392953265746	0.8802829238625137	0.3787060608714182	0.8552755511901017	1.5087045115127202	0.725490538067851
PICALM|8301	0.0986092362005764	1.1036349546993176	0.8745659134888817	0.3818101413691076	0.8848111672316755	1.3765763344115274	0.7272574121316335
ILF2|3608	0.13951006019081638	1.1497103719656085	0.8762473037308071	0.3808956056645526	0.8415230237310909	1.5707638438038634	0.7272574121316335
DIP2B|57609	0.08073305626870902	1.0840814691856586	0.8767941854556448	0.38059843788592695	0.9050766740471129	1.298489581635777	0.7272574121316335
HNRNPUL1|11100	-0.1305680388531241	0.8775967802389366	-0.8754407360591474	0.381334143051563	0.6551521169858779	1.175568373691678	0.7272574121316335
IFITM3|10410	0.056630446685384694	1.0582646529129556	0.8759731615921457	0.3810446242157479	0.9323206306069843	1.2012220247404108	0.7272574121316335
MLF2|8079	0.12429840082505071	1.1323537158731394	0.8750181740851729	0.3815640170822233	0.8571699105671193	1.4958818806453003	0.7272574121316335
SF3B5|83443	0.09760279909703001	1.1025247742892255	0.8724561266407471	0.38295959275736535	0.8854485596184065	1.37281930691193	0.7273686472124699
MXD1|4084	-0.054350590933611845	0.9471000036145784	-0.8726698869074646	0.38284303572696043	0.8382668911432786	1.070063038781544	0.7273686472124699
SVIL|6840	-0.07308877526461278	0.9295183081291287	-0.8731707413035245	0.3825700200714601	0.788874840068912	1.0952362038466874	0.7273686472124699
EPPK1|83481	-0.03889050304754925	0.9618560236837408	-0.8698394160893779	0.3843881676560307	0.8811561262470751	1.0499467492067136	0.7280078932879368
FAM46B|115572	-0.03148272589772355	0.9690076950471981	-0.8701315462287066	0.38422851977230055	0.9026708483750815	1.0402196046886367	0.7280078932879368
YAP1|10413	0.0587210589822148	1.0604793882794772	0.8703633347204663	0.38410187721290523	0.9291246177236434	1.2104044080985885	0.7280078932879368
MUC7|4589	-0.02187578085688014	0.9783617587626029	-0.8674583780445448	0.3856909075822518	0.9311800376370817	1.0279341183451247	0.7297841203070043
RPS3|6188	0.07367938490081953	1.0764616203142252	0.8595406175646878	0.3900423208858079	0.9099844825508393	1.273394922912643	0.7319550457598201
COX7B|1349	0.08904071462251396	1.0931251615986313	0.8587145575351746	0.390498016912864	0.8920890448590756	1.3394656349678604	0.7319550457598201
KRT6A|3853	0.038184364178112974	1.0389227553629279	0.8593677827566469	0.3901376384556764	0.9522736026783356	1.1334562761953306	0.7319550457598201
EPHB3|2049	0.048816194809487914	1.0500273325277987	0.8635975496734324	0.3878090106903296	0.9399074950199633	1.173048842462977	0.7319550457598201
